,Mesh,Tamaño partícula[um],Peso[g],Recuperación[%],Ley [g/ton],Contenido [g],Recuperacion_acumulada
0,10,2000.0,0.0,0.0,0.0,0.0,0.0
1,30,1300.0,688.9,10.093600353595908,0.04,2.7556000000000002e-05,10.093600353595908
2,60,425.0,634.4,18.59015840999055,0.08,5.0752000000000005e-05,28.68375876358646
3,100,200.0,108.1,16.23452102161868,0.41,4.4321e-05,44.918279785205144
4,140,128.0,264.8,6.466311931175779,0.06666666666666667,1.7653333333333333e-05,51.384591716380925
5,200,90.5,70.5,18.76524699211491,0.7266666666666667,5.123e-05,70.14983870849584
6,270,64.0,48.6,7.65481420342021,0.43,2.0898e-05,77.80465291191605
7,400,45.5,28.2,6.33542283770485,0.6133333333333334,1.7296000000000002e-05,84.1400757496209
8,-400,19.0,156.5,15.859924250379114,0.27666666666666667,4.329833333333333e-05,100.00000000000001
